Doctor Name,Specialty,City,State,Rating
DR. NICOLE THOMAS,RHEUMATOLOGIST,SANDY SPRINGS,GA,4.11
DR. WILLIAM TURNER,ALLERGIST,ALBANY,GA,4.35
DR. ANDREA HUGHES,ORTHOPEDIC SURGEON,PEACHTREE CITY,GA,4.36
DR. STEVEN SPENCER,ORTHOPEDIC SURGEON,COLUMBUS,GA,3.82
DR. GRACE GREEN,PULMONOLOGIST,WARNER ROBINS,GA,4.69
DR. CHRIS MOORE,ENT SPECIALIST,SANDY SPRINGS,GA,4.29
DR. GRACE BAKER,RHEUMATOLOGIST,ATLANTA,GA,4.56
DR. NICOLE RIVERA,PULMONOLOGIST,ATLANTA,GA,3.93
DR. KEVIN ELLIOTT,GASTROENTEROLOGIST,ATLANTA,GA,4.68
DR. RACHEL RILEY,ORTHOPEDIC SURGEON,ATLANTA,GA,3.54
DR. SOPHIA FIELDS,CARDIOLOGIST,COLUMBUS,GA,3.89
DR. RACHEL GRAY,ORTHOPEDIC SURGEON,AUGUSTA,GA,4.88
DR. KEVIN SANDERS,ORTHOPEDIC SURGEON,GAINESVILLE,GA,3.74
DR. MICHAEL THOMAS,ORTHOPEDIC SURGEON,PEACHTREE CITY,GA,4.05
DR. SAMUEL LONG,ALLERGIST,DUNWOODY,GA,4.71
DR. GRACE MITCHELL,ONCOLOGIST,PEACHTREE CITY,GA,3.79
DR. ERIC TURNER,RHEUMATOLOGIST,GAINESVILLE,GA,4.58
DR. ZOE TURNER,ENDOCRINOLOGIST,ROSWELL,GA,4.1
DR. ANDREA ELLIOTT,ENT SPECIALIST,AUGUSTA,GA,3.88
DR. MARCUS SCOTT,NEUROLOGIST,PEACHTREE CITY,GA,3.86
DR. OLIVIA ADAMS,ORTHOPEDIC SURGEON,ATHENS,GA,4.77
DR. RYAN GREEN,DERMATOLOGIST,SAVANNAH,GA,4.6
DR. BRIAN MOORE,ONCOLOGIST,ROME,GA,3.58
DR. RYAN KELLY,DERMATOLOGIST,ATLANTA,GA,4.71
DR. MELISSA TURNER,ENT SPECIALIST,SAVANNAH,GA,3.77
DR. WILLIAM WHITE,NEUROLOGIST,AUGUSTA,GA,4.88
DR. OLIVIA TURNER,ORTHOPEDIC SURGEON,SAVANNAH,GA,3.58
DR. DEREK BAKER,CARDIOLOGIST,AUGUSTA,GA,4.69
DR. CHRIS BENNETT,NEPHROLOGIST,PEACHTREE CITY,GA,3.6
DR. LAURA MOORE,RHEUMATOLOGIST,MACON,GA,3.89
DR. SARAH FIELDS,GENERAL PRACTITIONER,ATLANTA,GA,4.06
DR. ADAM KIM,OPHTHALMOLOGIST,ROME,GA,4.75
DR. DAVID KELLY,RHEUMATOLOGIST,SANDY SPRINGS,GA,3.76
DR. PAIGE BENNETT,OPHTHALMOLOGIST,NEWNAN,GA,4.66
DR. VICTORIA FOSTER,ORTHOPEDIC SURGEON,MARIETTA,GA,3.74
DR. HANNAH TURNER,DERMATOLOGIST,MACON,GA,4.23
DR. VICTORIA WRIGHT,ENDOCRINOLOGIST,ATHENS,GA,3.64
DR. SOPHIA DIAZ,RHEUMATOLOGIST,SAVANNAH,GA,4.2
DR. STEVEN SANDERS,NEUROLOGIST,GAINESVILLE,GA,4.91
DR. BRITTANY WRIGHT,CARDIOLOGIST,WARNER ROBINS,GA,3.92
DR. MATTHEW WARD,ONCOLOGIST,DUNWOODY,GA,4.95
DR. ANDREA RILEY,ALLERGIST,MARIETTA,GA,4.8
DR. HANNAH TURNER,PULMONOLOGIST,ALBANY,GA,4.32
DR. STEVEN BENNETT,DERMATOLOGIST,SANDY SPRINGS,GA,4.8
DR. RACHEL ADAMS,ENDOCRINOLOGIST,COLUMBUS,GA,4.15
DR. MATTHEW POWELL,NEPHROLOGIST,ATHENS,GA,4.48
DR. BENJAMIN HAYES,CARDIOLOGIST,PEACHTREE CITY,GA,4.15
DR. BRIAN SANDERS,ONCOLOGIST,ALBANY,GA,3.51
DR. SAMUEL ELLIOTT,RHEUMATOLOGIST,SAVANNAH,GA,4.81
DR. MICHAEL RIVERA,DERMATOLOGIST,AUGUSTA,GA,4.96
DR. MARCUS LONG,DERMATOLOGIST,COLUMBUS,GA,4.43
DR. MICHAEL HAYES,GENERAL PRACTITIONER,ATHENS,GA,4.65
DR. ANDREA MOORE,GASTROENTEROLOGIST,SAVANNAH,GA,4.74
DR. ZOE ROSS,NEPHROLOGIST,JOHNS CREEK,GA,4.14
DR. LINDSAY SANDERS,OPHTHALMOLOGIST,SANDY SPRINGS,GA,3.84
DR. SAMUEL GREEN,NEPHROLOGIST,ROME,GA,3.98
DR. BRANDON HARRIS,ENT SPECIALIST,AUGUSTA,GA,4.31
DR. NICOLE FIELDS,ALLERGIST,MACON,GA,4.52
DR. WILLIAM FOSTER,GASTROENTEROLOGIST,ROSWELL,GA,4.27
DR. ZOE COLLINS,NEPHROLOGIST,JOHNS CREEK,GA,4.2
DR. JESSICA RILEY,NEPHROLOGIST,MACON,GA,4.62
DR. SAMUEL ROSS,ALLERGIST,MARIETTA,GA,4.74
DR. GRACE THOMAS,GENERAL PRACTITIONER,MACON,GA,3.78
DR. JULIA HUGHES,RHEUMATOLOGIST,SANDY SPRINGS,GA,4.26
DR. MELISSA ROSS,ENT SPECIALIST,MACON,GA,3.69
DR. PAIGE KIM,ALLERGIST,ROSWELL,GA,4.44
DR. DEREK HAYES,RHEUMATOLOGIST,COLUMBUS,GA,3.65
DR. STEVEN CARTER,ALLERGIST,JOHNS CREEK,GA,3.73
DR. ZOE LONG,OPHTHALMOLOGIST,DUNWOODY,GA,4.09
DR. PETER COLLINS,ENDOCRINOLOGIST,GAINESVILLE,GA,4.02
DR. DAVID PARKER,GENERAL PRACTITIONER,MARIETTA,GA,4.27
DR. MEGAN GONZALEZ,DERMATOLOGIST,SANDY SPRINGS,GA,3.91
DR. KEVIN PARKER,DERMATOLOGIST,WARNER ROBINS,GA,4.08
DR. MICHAEL SCOTT,ENDOCRINOLOGIST,AUGUSTA,GA,4.77
DR. RYAN DIAZ,PEDIATRICIAN,JOHNS CREEK,GA,4.51
DR. CHRIS HUGHES,GASTROENTEROLOGIST,PEACHTREE CITY,GA,4.48
DR. SAMUEL HAYES,CARDIOLOGIST,GAINESVILLE,GA,4.46
DR. LINDSAY SANDERS,ONCOLOGIST,PEACHTREE CITY,GA,4.22
DR. KEVIN RILEY,ONCOLOGIST,ATHENS,GA,3.86
DR. BRITTANY TURNER,CARDIOLOGIST,SANDY SPRINGS,GA,4.47
DR. ETHAN ADAMS,GASTROENTEROLOGIST,AUGUSTA,GA,3.57
DR. MATTHEW WRIGHT,RHEUMATOLOGIST,SAVANNAH,GA,4.55
DR. CHLOE WRIGHT,PULMONOLOGIST,AUGUSTA,GA,4.52
DR. NICOLE SANDERS,ALLERGIST,JOHNS CREEK,GA,4.82
DR. ETHAN HAYES,ENT SPECIALIST,PEACHTREE CITY,GA,4.81
DR. MICHAEL MURPHY,DERMATOLOGIST,WARNER ROBINS,GA,3.54
DR. PAIGE HAYES,ORTHOPEDIC SURGEON,WARNER ROBINS,GA,3.99
DR. RYAN WARD,PEDIATRICIAN,NEWNAN,GA,4.23
DR. GRACE SCOTT,RHEUMATOLOGIST,MACON,GA,4.46
DR. BRIAN CARTER,ENT SPECIALIST,PEACHTREE CITY,GA,4.43
DR. NICOLE CARTER,ORTHOPEDIC SURGEON,ALBANY,GA,4.22
DR. DEREK HUGHES,DERMATOLOGIST,GAINESVILLE,GA,4.86
DR. OLIVIA HAYES,ORTHOPEDIC SURGEON,GAINESVILLE,GA,3.95
DR. PAIGE MITCHELL,PULMONOLOGIST,ATHENS,GA,4.81
DR. JESSICA TURNER,ORTHOPEDIC SURGEON,ROME,GA,4.6
DR. ADAM KIM,CARDIOLOGIST,ATLANTA,GA,4.78
DR. SARAH BENNETT,ENDOCRINOLOGIST,ROME,GA,4.43
DR. ETHAN WRIGHT,ENT SPECIALIST,ALBANY,GA,4.14
DR. JESSICA FOSTER,PULMONOLOGIST,MARIETTA,GA,4.31
DR. MEGAN ELLIOTT,NEUROLOGIST,AUGUSTA,GA,4.44
DR. RACHEL LONG,PULMONOLOGIST,MACON,GA,4.42
DR. LAURA MURPHY,DERMATOLOGIST,MACON,GA,4.91
DR. CHRIS MURPHY,RHEUMATOLOGIST,ALBANY,GA,4.91
DR. ALEX MURPHY,ONCOLOGIST,PEACHTREE CITY,GA,3.71
DR. ZOE WHITE,CARDIOLOGIST,WARNER ROBINS,GA,4.22
DR. STEVEN WHITE,ENDOCRINOLOGIST,ROSWELL,GA,4.89
DR. WILLIAM GRAY,GASTROENTEROLOGIST,GAINESVILLE,GA,3.6
DR. NICOLE MURPHY,ENDOCRINOLOGIST,NEWNAN,GA,3.71
DR. CHLOE KELLY,ENDOCRINOLOGIST,NEWNAN,GA,4.89
DR. SAMUEL KELLY,PULMONOLOGIST,AUGUSTA,GA,4.05
DR. DEREK LONG,GASTROENTEROLOGIST,ALBANY,GA,4.8
DR. BRITTANY SANDERS,ONCOLOGIST,SANDY SPRINGS,GA,4.64
DR. LAURA POWELL,NEUROLOGIST,AUGUSTA,GA,4.22
DR. MATTHEW HAYES,DERMATOLOGIST,COLUMBUS,GA,3.55
DR. MELISSA KIM,OPHTHALMOLOGIST,ROME,GA,4.65
DR. RACHEL SPENCER,NEPHROLOGIST,MACON,GA,4.59
DR. BENJAMIN SPENCER,ALLERGIST,MACON,GA,4.52
DR. LAURA DIAZ,PEDIATRICIAN,ALPHARETTA,GA,4.02
DR. SOPHIA MITCHELL,ENDOCRINOLOGIST,ALPHARETTA,GA,4.6
DR. ANDREA MURPHY,PEDIATRICIAN,GAINESVILLE,GA,4.44
DR. DAVID ELLIOTT,GASTROENTEROLOGIST,DUNWOODY,GA,4.47
DR. MATTHEW GONZALEZ,GENERAL PRACTITIONER,ATLANTA,GA,4.44
DR. ZOE TURNER,GASTROENTEROLOGIST,JOHNS CREEK,GA,4.67
DR. MATTHEW HAYES,PULMONOLOGIST,ATLANTA,GA,4.89
DR. RYAN GREEN,OPHTHALMOLOGIST,SAVANNAH,GA,4.34
DR. ALEX MOORE,ENDOCRINOLOGIST,SAVANNAH,GA,4.19
DR. SAMUEL GONZALEZ,ENT SPECIALIST,ATLANTA,GA,4.56
DR. MICHAEL THOMAS,OPHTHALMOLOGIST,ATHENS,GA,4.66
DR. JESSICA FOSTER,OPHTHALMOLOGIST,DUNWOODY,GA,3.63
DR. MELISSA KIM,DERMATOLOGIST,ALPHARETTA,GA,4.83
DR. HANNAH THOMAS,GENERAL PRACTITIONER,ROME,GA,4.12
DR. ALEX COLLINS,NEPHROLOGIST,DUNWOODY,GA,4.8
DR. BRIAN FIELDS,NEPHROLOGIST,ROSWELL,GA,4.12
DR. BRANDON ADAMS,NEUROLOGIST,DUNWOODY,GA,3.84
DR. SOPHIA GONZALEZ,NEUROLOGIST,ROSWELL,GA,3.94
DR. ALEX FOSTER,ONCOLOGIST,SAVANNAH,GA,3.53
DR. HANNAH MURPHY,GENERAL PRACTITIONER,SAVANNAH,GA,4.04
DR. MEGAN SPENCER,GENERAL PRACTITIONER,SAVANNAH,GA,4.19
DR. BRANDON POWELL,NEUROLOGIST,COLUMBUS,GA,4.9
DR. PAIGE SANDERS,GENERAL PRACTITIONER,SAVANNAH,GA,4.12
DR. RACHEL HARRIS,ALLERGIST,MACON,GA,3.71
DR. ADAM EDWARDS,NEUROLOGIST,MARIETTA,GA,3.51
DR. ETHAN HAYES,ENT SPECIALIST,ROSWELL,GA,4.49
DR. ALEX FIELDS,ENDOCRINOLOGIST,ATLANTA,GA,4.5
DR. BRITTANY POWELL,ONCOLOGIST,SANDY SPRINGS,GA,3.54
DR. OLIVIA LONG,ONCOLOGIST,ROSWELL,GA,4.07
DR. BRITTANY EDWARDS,ORTHOPEDIC SURGEON,ALBANY,GA,4.48
DR. PAIGE MITCHELL,ENT SPECIALIST,MACON,GA,4.75
DR. MATTHEW MITCHELL,NEPHROLOGIST,ROME,GA,3.6
DR. CHRIS EDWARDS,GASTROENTEROLOGIST,DUNWOODY,GA,4.97
DR. ETHAN FIELDS,ENDOCRINOLOGIST,ATHENS,GA,4.19
DR. PAIGE BAKER,OPHTHALMOLOGIST,AUGUSTA,GA,4.92
DR. OLIVIA FIELDS,GASTROENTEROLOGIST,ROSWELL,GA,4.49
DR. ALEX HARRIS,ALLERGIST,ATHENS,GA,4.35
DR. LINDSAY COLLINS,GENERAL PRACTITIONER,AUGUSTA,GA,4.87
DR. ERIC SPENCER,NEPHROLOGIST,ALPHARETTA,GA,4.27
DR. SARAH WRIGHT,NEUROLOGIST,ROME,GA,4.17
DR. ANDREA EDWARDS,NEPHROLOGIST,ALBANY,GA,4.04
DR. ASHLEY SPENCER,ONCOLOGIST,MARIETTA,GA,4.35
DR. ERIC MOORE,ORTHOPEDIC SURGEON,COLUMBUS,GA,3.75
DR. SAMUEL FOSTER,GENERAL PRACTITIONER,ALBANY,GA,4.41
DR. ALEX RILEY,PEDIATRICIAN,AUGUSTA,GA,4.38
DR. WILLIAM DIAZ,PEDIATRICIAN,MACON,GA,4.03
DR. STEVEN SPENCER,ALLERGIST,COLUMBUS,GA,3.56
DR. PETER ADAMS,ALLERGIST,MACON,GA,4.05
DR. OLIVIA SANDERS,ONCOLOGIST,ROSWELL,GA,3.7
DR. BRITTANY WHITE,PEDIATRICIAN,SANDY SPRINGS,GA,4.78
DR. LINDSAY SCOTT,ONCOLOGIST,ALBANY,GA,4.99
DR. PETER TURNER,DERMATOLOGIST,SAVANNAH,GA,4.23
DR. CHRIS ELLIOTT,ORTHOPEDIC SURGEON,PEACHTREE CITY,GA,4.85
DR. MELISSA GRAY,ALLERGIST,DUNWOODY,GA,4.83
DR. JULIA COLLINS,GENERAL PRACTITIONER,SANDY SPRINGS,GA,4.75
DR. SAMUEL ROSS,ORTHOPEDIC SURGEON,MACON,GA,3.82
DR. MICHAEL HARRIS,CARDIOLOGIST,MACON,GA,4.03
DR. PAIGE HARRIS,ENDOCRINOLOGIST,MARIETTA,GA,3.59
DR. MATTHEW COLLINS,ALLERGIST,PEACHTREE CITY,GA,3.54
DR. JESSICA SANDERS,CARDIOLOGIST,MACON,GA,3.96
DR. MARCUS GREEN,ALLERGIST,ALBANY,GA,3.69
DR. RYAN HAYES,RHEUMATOLOGIST,WARNER ROBINS,GA,3.63
DR. BENJAMIN BAKER,DERMATOLOGIST,JOHNS CREEK,GA,3.93
DR. MATTHEW POWELL,PEDIATRICIAN,JOHNS CREEK,GA,4.11
DR. NICOLE RILEY,NEPHROLOGIST,GAINESVILLE,GA,4.39
DR. DEREK SANDERS,NEUROLOGIST,GAINESVILLE,GA,3.55
DR. WILLIAM HAYES,GASTROENTEROLOGIST,ATHENS,GA,3.91
DR. DAVID ELLIOTT,NEPHROLOGIST,MARIETTA,GA,4.67
DR. NICOLE GREEN,ORTHOPEDIC SURGEON,WARNER ROBINS,GA,4.13
DR. MARCUS LONG,ENT SPECIALIST,WARNER ROBINS,GA,4.07
DR. STEVEN ROSS,NEUROLOGIST,MARIETTA,GA,4.99
DR. PAIGE ADAMS,ENT SPECIALIST,ATHENS,GA,4.22
DR. MARCUS THOMAS,GASTROENTEROLOGIST,PEACHTREE CITY,GA,3.92
DR. DAVID MITCHELL,NEUROLOGIST,ROME,GA,3.76
DR. CHRIS KIM,GENERAL PRACTITIONER,SANDY SPRINGS,GA,4.78
DR. LINDSAY WARD,GASTROENTEROLOGIST,AUGUSTA,GA,4.29
DR. MEGAN TURNER,PEDIATRICIAN,SANDY SPRINGS,GA,4.8
DR. PAIGE CARTER,ORTHOPEDIC SURGEON,DUNWOODY,GA,4.57
DR. DAVID FIELDS,ENT SPECIALIST,NEWNAN,GA,4.99
DR. RACHEL SANDERS,GASTROENTEROLOGIST,ALBANY,GA,4.61
DR. RYAN FOSTER,GASTROENTEROLOGIST,GAINESVILLE,GA,4.39
DR. BRITTANY WRIGHT,ENDOCRINOLOGIST,PEACHTREE CITY,GA,4.57
DR. GRACE GREEN,GENERAL PRACTITIONER,NEWNAN,GA,3.62
DR. BRITTANY LONG,RHEUMATOLOGIST,NEWNAN,GA,4.01
DR. PAIGE KELLY,OPHTHALMOLOGIST,ALPHARETTA,GA,4.84
DR. MICHAEL RIVERA,CARDIOLOGIST,DUNWOODY,GA,3.9
DR. SOPHIA GREEN,DERMATOLOGIST,ROSWELL,GA,4.3
DR. BRANDON HUGHES,DERMATOLOGIST,ALBANY,GA,4.3
DR. OLIVIA RILEY,PEDIATRICIAN,ROSWELL,GA,4.56
DR. DAVID ELLIOTT,CARDIOLOGIST,ATHENS,GA,4.16
DR. ERIC MITCHELL,CARDIOLOGIST,SANDY SPRINGS,GA,4.23
DR. SOPHIA EDWARDS,DERMATOLOGIST,ROME,GA,4.64
DR. WILLIAM WRIGHT,ENT SPECIALIST,SANDY SPRINGS,GA,4.12
DR. ANDREA HAYES,ENT SPECIALIST,COLUMBUS,GA,4.72
DR. MATTHEW POWELL,PEDIATRICIAN,ALPHARETTA,GA,3.91
DR. BRANDON POWELL,NEPHROLOGIST,ATHENS,GA,4.88
DR. MICHAEL SIMMONS,GASTROENTEROLOGIST,ROME,GA,4.42
DR. RACHEL BENNETT,ALLERGIST,NEWNAN,GA,3.69
DR. ALEX KIM,ALLERGIST,NEWNAN,GA,3.82
DR. ALEX COLLINS,CARDIOLOGIST,ALPHARETTA,GA,3.87
DR. CHLOE RIVERA,ONCOLOGIST,DUNWOODY,GA,4.35
DR. ANDREA COLLINS,ORTHOPEDIC SURGEON,NEWNAN,GA,4.3
DR. ZOE FIELDS,ENT SPECIALIST,ALBANY,GA,4.36
DR. SAMUEL GRAY,RHEUMATOLOGIST,ATLANTA,GA,4.26
DR. OLIVIA EDWARDS,OPHTHALMOLOGIST,SAVANNAH,GA,3.98
DR. WILLIAM SPENCER,OPHTHALMOLOGIST,MARIETTA,GA,3.89
DR. MATTHEW POWELL,NEPHROLOGIST,SANDY SPRINGS,GA,3.61
DR. ERIC ADAMS,ORTHOPEDIC SURGEON,SAVANNAH,GA,3.93
DR. BRANDON MITCHELL,DERMATOLOGIST,ATHENS,GA,4.78
DR. ANDREA WHITE,DERMATOLOGIST,SANDY SPRINGS,GA,4.97
DR. MELISSA KELLY,PEDIATRICIAN,NEWNAN,GA,3.79
DR. SAMUEL COLLINS,ENT SPECIALIST,COLUMBUS,GA,3.96
DR. RACHEL MOORE,ALLERGIST,ATLANTA,GA,3.6
DR. MARCUS POWELL,PEDIATRICIAN,ALBANY,GA,4.56
DR. GRACE SANDERS,ENDOCRINOLOGIST,AUGUSTA,GA,4.35
DR. MEGAN KIM,PULMONOLOGIST,SAVANNAH,GA,3.7
DR. KEVIN BAKER,GASTROENTEROLOGIST,DUNWOODY,GA,3.63
DR. SOPHIA FOSTER,OPHTHALMOLOGIST,ATHENS,GA,3.64
DR. MEGAN ADAMS,PEDIATRICIAN,MACON,GA,4.79
DR. ETHAN ADAMS,ONCOLOGIST,ROSWELL,GA,3.73
DR. GRACE CARTER,NEPHROLOGIST,JOHNS CREEK,GA,4.04
DR. JESSICA FIELDS,RHEUMATOLOGIST,SAVANNAH,GA,4.86
DR. MARCUS MOORE,PULMONOLOGIST,ALPHARETTA,GA,4.91
DR. MELISSA SPENCER,CARDIOLOGIST,COLUMBUS,GA,4.92
DR. RACHEL HUGHES,ALLERGIST,DUNWOODY,GA,3.71
DR. ERIC FOSTER,OPHTHALMOLOGIST,WARNER ROBINS,GA,4.14
DR. ERIC THOMAS,NEPHROLOGIST,GAINESVILLE,GA,3.78
DR. RYAN FOSTER,GASTROENTEROLOGIST,ROME,GA,4.85
DR. LINDSAY SIMMONS,ONCOLOGIST,ALBANY,GA,4.34
DR. ADAM WHITE,NEPHROLOGIST,AUGUSTA,GA,4.87
DR. WILLIAM CARTER,PULMONOLOGIST,ATLANTA,GA,3.71
DR. ALEX DIAZ,NEPHROLOGIST,JOHNS CREEK,GA,3.57
DR. ASHLEY LONG,RHEUMATOLOGIST,DUNWOODY,GA,4.43
DR. LAURA KELLY,PEDIATRICIAN,ATHENS,GA,4.76
DR. BRIAN MITCHELL,ONCOLOGIST,ROSWELL,GA,3.56
DR. DAVID SPENCER,ENT SPECIALIST,GAINESVILLE,GA,3.81
DR. JULIA THOMAS,ENDOCRINOLOGIST,GAINESVILLE,GA,3.62
DR. ETHAN ROSS,ALLERGIST,SAVANNAH,GA,4.45
DR. ETHAN HAYES,ENT SPECIALIST,ROME,GA,3.93
DR. RYAN MOORE,GENERAL PRACTITIONER,ATLANTA,GA,3.95
DR. HANNAH LONG,ALLERGIST,ATHENS,GA,4.3
DR. MARCUS COLLINS,ENT SPECIALIST,JOHNS CREEK,GA,3.71
DR. SARAH DIAZ,GASTROENTEROLOGIST,AUGUSTA,GA,3.94
DR. GRACE THOMAS,ALLERGIST,PEACHTREE CITY,GA,4.39
